Régime                                                            ;regime_general;agirc_arrco;ircantec;cnavpl;carcdsf_rc;carcdsf_pcv_avant_2006;carcdsf_pcv
Nom                                                               ;Régime Général ;Agirc-Arrco ;IRCANTEC;CARCDSF Base ;CARCDSF RC;CARCDSF PCV avant 2006;CARCDSF PCV
Cumul point/Trim pour RG                                          ;;7845.75     ;175;8853.3       ;331.58;82.5;121.9
Dont points arrco avant 2012;;0;0;0;0;0;0
Date cumul                                                        ;;31/12/2023;31/12/2023;31/12/2023;31/12/2023;31/12/2023;31/12/2023
2023;;0;0;476.3;18.93;0;10.44
2024;;0;0;476.3;18.93;0;10.44
2025;;0;0;476.3;18.93;0;10.44
2026;;0;0;476.3;18.93;0;10.44
2027;;0;0;476.3;18.93;0;10.44
2028;;0;0;476.3;18.93;0;10.44
2029;;0;0;476.3;18.93;0;10.44
2030;;0;0;476.3;18.93;0;10.44
2031;;0;0;476.3;18.93;0;10.44
2032;;0;0;476.3;18.93;0;10.44
2033;;0;0;476.3;18.93;0;10.44
2034;;0;0;476.3;18.93;0;10.44
2035;;0;0;476.3;18.93;0;10.44
2036;;0;0;476.3;18.93;0;10.44
2037;;0;0;476.3;18.93;0;10.44
2038;;0;0;476.3;18.93;0;10.44
2039;;0;0;476.3;18.93;0;10.44
2040;;0;0;476.3;18.93;0;10.44
2041;;0;0;476.3;18.93;0;10.44
