Age;coeff_vu;;;;;;;;;;
55;36,4;;;;;;;;;;
56;35,3;;;;;;;;;;
57;34,3;;;;;;;;;;
58;33,3;;;;;;;;;;
59;32,3;;;;;;;;;;
60;31,2;;;;;;;;;;
61;30,1;;;;;;;;;;
62;29,1;;;;;;;;;;
63;28,1;;;;;;;;;;
64;27,1;;;;;;;;;;
65;26,1;;;;;;;;;;
66;25;;;;;;;;;;
67;24,1;;;;;;;;;;
68;23,1;;;;;;;;;;
69;22,2;;;;;;;;;;
70;21,2;;;;;;;;;;
71;20,4;;;;;;;;;;
72;19,5;;;;;;;;;;
73;18,6;;;;;;;;;;
74;17,7;;;;;;;;;;
75;16,9;;;;;;;;;;
76;16;;;;;;;;;;
77;15,2;;;;;;;;;;
78;14,4;;;;;;;;;;
79;13,5;;;;;;;;;;
80;12,7;;;;;;;;;;                                                              
81;11,9;;;;;;;;;;
82;11,2;;;;;;;;;;
83;10,4;;;;;;;;;;
84;9,7;;;;;;;;;;
85;8,9;;;;;;;;;;
86;8,2;;;;;;;;;;
87;7,6;;;;;;;;;;
88;7;;;;;;;;;;
89;6,4;;;;;;;;;;
90;5,8;;;;;;;;;;
