Nom_régime;tx_decote_1;tx_decote_2;tx_surcote_1;tx_surcote_2;tx_plvt_sociaux;majo_trois_enfants;depart_trim_civil;seuil_point_cap_unique
regime_general;0.0125;0;0.0125;0;0.091;0.1;0;0
agirc_arrco;0.01;0.0125;0;0;0.101;0.1;0;100
agirc_tc;0.01;0.0125;0;0;0.101;0.1;0;0
ircantec;0.01;0.0125;0;0;0.101;0.1;0;300
rci;0.01;0.0125;0;0;0.101;0;0;0
cnavpl;0.0125;0;0.0075;0.0125;0.101;0.1;1;0
carmf_rc;0.0125;0;0.0125;0.0075;0.101;0.1;1;0
carmf_asv;0.0125;0;0.0125;0.0075;0.101;0.1;1;0
carcdsf_rc;0.0125;0;0.0125;0;0.101;0.1;1;0
carcdsf_pcv;0.0125;0;0;0;0.101;0.1;1;0
carcdsf_pcv_avant_2006;0.0125;0;0;0;0.101;0.1;1;0
