Année;Salaire €;Coefficient de revalorisation;Salaire revalorisé pour SAM;
1998;2853.85;1.46;4166.62;
1999;63.11;1.443;0.0;
2000;5420.48;1.436;7783.81;
2001;19208.58;1.407;27026.47;
2002;17003.0;1.376;23396.13;
2003;16929.0;1.354;22921.87;
2004;21503.0;1.333;28663.5;
2005;26166.0;1.308;34225.13;
2006;31068.0;1.285;39922.38;
2007;32184.0;1.264;40680.58;
2008;33276.0;1.252;41661.55;
2009;34308.0;1.241;42576.23;
2010;34620.0;1.229;42547.98;
2011;35352.0;1.219;43094.09;
2012;36372.0;1.195;43464.55;
2013;37032.0;1.17;43327.44;
2014;37548.0;1.156;43405.49;
2015;38040.0;1.156;43974.24;
2016;38616.0;1.155;44601.48;
2017;39228.0;1.155;45308.34;
2018;39732.0;1.146;45532.88;
2019;40524.0;1.13;45792.12;
2020;41136.0;1.119;46031.19;
2021;41136.0;1.115;45866.64;
2022;41136.0;1.103;45373.01;
2023;43992.0;1.053;46323.58;
2024;43992.0;1.0;43992.0;
2025;43992.0;1.0;43992.0;
2026;43992.0;1.0;43992.0;
2027;43992.0;1.0;43992.0;
2028;43992.0;1.0;43992.0;
2029;43992.0;1.0;43992.0;
2030;43992.0;1.0;43992.0;
2031;43992.0;1.0;43992.0;
2032;43992.0;1.0;43992.0;
2033;43992.0;1.0;43992.0;
2034;0.0;1.0;0.0;
2035;0.0;1.0;0.0;
2036;0.0;1.0;0.0;
2037;0.0;1.0;0.0;
2038;0.0;1.0;0.0;
2039;0.0;1.0;0.0;
2040;0.0;1.0;0.0;
